Index,Date,Day,Tata Comm Open Price,Mtnl Open Price,Reliance Open Price,Airtel Open Price,Vodafone Open Price,Tata CommnHigh Price,Mtnl High Price,Reliance High Price,Airtel High Price,Vodafone High Price, Tata Commn Low Price,Mtnl Low Price,Reliance Low Price,Airtel Low Price,Vodafone Low Price,Tata Commn Close Price,Mtnl Close Price,Reliance Close Price,Airtel Close Price,Vodafone Close Price,Tata Commn No. of Trades,Mtnl No. of Trades,Reliance No. of Trades,Airtel No. of Trades,Vodafone No. of Trades,Tata %gain,Mtnl %gain,Reliance %gain,Airtel %gain,Vodafone %gain,BSE %gain
13,14-Dec-20,Monday,1040,11.15,2.66,507.05,10.3,1049.95,11.51,2.66,511.8,10.39,1028,10.75,2.56,501.2,9.92,1030.35,11.22,2.66,502.95,10.06,902,5135,5879,5940,113595,-0.936574950259629,0.623885918003568,0,-0.81519037677702,-2.38568588469185,-0.067540893156962
14,11-Dec-20,Friday,1016,10.99,2.54,508,9.83,1048.35,11.5,2.54,508.25,10.35,1012.45,10.69,2.48,497.1,9.73,1037.15,10.91,2.54,504.05,10.11,635,11442,2602,11725,71411,2.03924215397966,-0.733272227314391,0,-0.783652415434974,2.76953511374876,0.083928049647926
15,10-Dec-20,Thursday,1040.4,10.95,2.42,503,9.9,1068,11.2,2.42,508.7,10.09,1027.6,10.49,2.2,494,9.66,1032.65,10.88,2.42,505.2,9.85,616,10873,11754,5325,74636,-0.750496295937636,-0.643382352941163,0,0.435471100554234,-0.507614213197977,-0.086031556218164
16,9-Dec-20,Wednesday,1045,10.5,2.31,504.55,9.6,1045,11.17,2.31,506.85,10,1025,10.25,2.19,499.15,9.45,1027.55,10.78,2.31,503,9.87,318,11827,4923,4694,70585,-1.69821419882245,2.59740259740259,0,-0.308151093439366,2.73556231003039,0.460832691661152
17,8-Dec-20,Tuesday,1049,10.3,2.1,512,9.64,1053.6,10.39,2.1,516.2,9.85,1020.15,10.1,2.03,499.65,9.52,1034.9,10.15,2.1,503.45,9.57,818,10846,2244,7925,81117,-1.36245047830707,-1.47783251231527,0,-1.69828185519913,-0.73145245559039,0.087067084629599
18,7-Dec-20,Monday,990,10.2,1.91,497,9.77,1072.05,10.39,1.91,510,9.83,990,10.01,1.86,495.4,9.56,1040.25,10.27,1.91,508.95,9.61,2829,8155,1645,22633,62214,4.83056957462149,0.681596884128533,0,2.34797131348855,-1.66493236212279,0.719946762903189
19,4-Dec-20,Friday,1013,10.49,1.74,486.35,9.89,1035,10.7,1.74,497.6,10,1007.65,10,1.74,483.35,9.68,1014.55,10.16,1.74,493.9,9.77,1086,10913,711,31479,49577,0.152777093292588,-3.24803149606299,0,1.52864952419517,-1.22824974411465,0.917577926132802
20,3-Dec-20,Thursday,1044.5,9.76,1.59,486,9.96,1057.5,10.8,1.66,488,10.03,1021,9.75,1.57,474.2,9.82,1025.85,10.34,1.66,479.95,9.94,1125,11737,962,12339,125150,-1.81800458156651,5.60928433268859,4.21686746987951,-1.26054797374727,-0.201207243460778,-0.603526790365339
21,2-Dec-20,Wednesday,1037,9.8,1.56,483.9,10,1067.5,9.85,1.6,487.85,10.18,1037,9.65,1.54,474,9.85,1051.35,9.73,1.59,484.9,9.91,1156,4641,2714,7738,72927,1.36491178009225,-0.719424460431658,1.88679245283019,0.206228088265622,-0.908173562058525,-0.249854094890757
22,1-Dec-20,Tuesday,1064.6,9.52,1.63,464.25,9.77,1071.75,9.9,1.63,482.2,10.34,1026.5,9.52,1.58,460.55,9.61,1042.05,9.73,1.6,479.35,10.05,638,612,6332,25836,71998,-2.16400364665803,2.15827338129497,-1.87499999999999,3.15009909252113,2.7860696517413,0.491787786661604
23,27-Nov-20,Friday,1079,9.55,1.65,469.7,10.01,1099.9,9.61,1.65,472.65,10.09,1051.35,9.41,1.61,462.1,9.69,1059.45,9.52,1.63,463.3,9.81,1615,587,1913,4299,95009,-1.84529708811175,-0.31512605042018,-1.22699386503068,-1.3813943449169,-2.0387359836901,-0.397080660987199
24,26-Nov-20,Thursday,1006,9.55,1.68,475,9.69,1080,9.65,1.69,475,10,1005,9.4,1.61,460.75,9.62,1073.35,9.58,1.65,468.3,9.95,1363,5675,1350,4552,84110,6.27474728653281,0.313152400835066,-1.81818181818182,-1.43070681187273,2.61306532663316,0.660080696361979
25,25-Nov-20,Wednesday,1057.15,9.8,1.71,476.9,10.25,1102.9,9.84,1.73,477.9,10.35,1016.9,9.4,1.62,458.85,9.64,1029.1,9.55,1.63,463.95,9.72,1912,625,2538,7020,66326,-2.72568263531243,-2.61780104712042,-4.90797546012271,-2.79124905701045,-5.45267489711933,-2.1028290069613
26,24-Nov-20,Tuesday,1004.9,9.82,1.64,480,10.5,1054.6,10.11,1.65,481.35,10.74,1004.9,9.63,1.56,471.45,10.13,1050.4,9.69,1.65,474.15,10.27,742,850,2110,4280,96738,4.33168316831684,-1.34158926728587,0.606060606060607,-1.23378677633661,-2.23953261927946,0.408395477216043
27,23-Nov-20,Monday,1040,9.42,1.5,487.85,10.28,1044.1,9.76,1.58,488,10.6,987.15,9.36,1.48,475.1,10.17,1004.4,9.62,1.58,477.05,10.4,1103,870,1512,4935,58622,-3.54440461967344,2.07900207900207,5.06329113924051,-2.26391363588723,1.15384615384616,-0.197426557751572
28,20-Nov-20,Friday,1020,9.5,1.51,470.5,9.6,1045,9.59,1.54,485.55,10.13,1012.35,9.34,1.5,465.05,9.5,1031.25,9.41,1.51,483.5,10.04,538,690,2542,17009,292379,1.09090909090909,-0.956429330499467,0,2.68872802481903,4.38247011952191,0.34207452899521
29,19-Nov-20,Thursday,994.2,9.5,1.52,476,9.12,1024.35,9.64,1.56,481.3,9.59,993,9.45,1.49,467.1,9.04,1014.65,9.51,1.53,468.6,9.27,731,3947,878,13580,56503,2.01547331592174,0.105152471083068,0.653594771241831,-1.57917200170721,1.61812297734628,-0.69330338835173
30,18-Nov-20,Wednesday,990.1,9.65,1.53,481.7,9.24,1017.9,9.65,1.53,484.85,9.56,985.3,9.48,1.48,471,9.11,993,9.53,1.52,478.5,9.2,708,501,1308,14718,91747,0.292044310171196,-1.25918153200421,-0.657894736842106,-0.668756530825494,-0.434782608695662,0.456020307808618
31,17-Nov-20,Tuesday,1025,9.6,1.55,490,9.11,1027.1,9.77,1.55,494.65,10.02,995.65,9.6,1.46,481.5,9.1,1000,9.64,1.51,484.6,9.29,819,616,1018,6429,69311,-2.5,0.414937759336109,-2.64900662251656,-1.11432108955839,1.93756727664155,-0.325668201118883
32,14-Nov-20,Saturday,1025,9.6,1.49,487,8.92,1025,9.84,1.56,487,9.25,1011,9.6,1.47,479.45,8.79,1018.85,9.68,1.52,481.4,9.11,98,219,591,8785,38978,-0.603621730382292,0.826446280991736,1.97368421052632,-1.16327378479435,2.08562019758507,-0.406687018968325
33,13-Nov-20,Friday,976,9.51,1.45,478,8.48,1022,9.57,1.51,478.05,8.83,976,9.3,1.43,469.85,8.47,1011.35,9.51,1.49,475.85,8.72,769,725,2272,5782,85512,3.49532802689475,0,2.68456375838926,-0.451823053483236,2.75229357798165,0.331652970559127
34,12-Nov-20,Thursday,1000,9.41,1.51,477,8.46,1017,9.6,1.53,483.3,8.6,981.6,9.38,1.46,475.1,8.39,989.95,9.51,1.47,479.65,8.51,1085,631,1074,4576,65000,-1.01520278801959,1.0515247108307,-2.72108843537415,0.552486187845299,0.587544065804923,0.150609391429663
35,11-Nov-20,Wednesday,1049.5,9.45,1.54,468.7,8.5,1063,9.77,1.54,481.15,8.64,1007.35,9.3,1.5,464.2,8.4,1007.85,9.5,1.51,478.35,8.48,1943,2684,1286,18779,100916,-4.13255940864216,0.526315789473692,-1.98675496688742,2.01735131180099,-0.235849056603769,0.343192027649887
36,10-Nov-20,Tuesday,1020,9.6,1.45,474.9,8.69,1063.85,9.6,1.56,474.9,8.7,1009.1,9.37,1.42,465,8.5,1060.35,9.42,1.51,466.4,8.53,1851,10002,1916,12092,43038,3.80534729098882,-1.9108280254777,3.97350993377484,-1.82246998284734,-1.8757327080891,0.735714624061153
37,9-Nov-20,Monday,1010.05,9.8,1.55,459.4,8.7,1030,9.99,1.55,474.75,8.79,993.05,9.4,1.45,453,8.55,1013.2,9.6,1.49,471.9,8.68,2970,6698,1358,9067,35925,0.310896170548765,-2.08333333333334,-4.0268456375839,2.64886628522992,-0.230414746543774,0.759341584691844
38,6-Nov-20,Friday,963.8,9.4,1.42,459,8.44,1018,10.27,1.52,460.35,8.99,950,9.33,1.42,448.85,8.42,996.95,9.74,1.52,449.75,8.6,1885,6900,1252,9774,51116,3.32514168213051,3.49075975359343,6.57894736842106,-2.05669816564758,1.86046511627907,1.08442782647053
39,5-Nov-20,Thursday,964.9,9.25,1.43,455.25,8.47,971,9.55,1.49,461.95,8.58,960.2,9.13,1.43,452.45,8.35,969.55,9.43,1.45,457.4,8.47,311,10479,1392,3642,52433,0.47960393997215,1.90880169671262,1.37931034482759,0.470048097944901,0,0.551618571384341
40,4-Nov-20,Wednesday,955,9.35,1.41,454,8.5,969,9.35,1.54,455.45,8.58,937.8,9.05,1.41,447.2,8.36,955.05,9.1,1.5,452.7,8.41,1269,6292,859,10575,105325,0.005235327993294,-2.74725274725275,6.00000000000001,-0.287165893527725,-1.07015457788347,1.0942201794656
41,3-Nov-20,Tuesday,967.25,9.25,1.47,457.1,8.73,971,9.4,1.51,460,8.73,953,9.14,1.45,447.4,8.52,968.45,9.21,1.47,454.55,8.58,1081,7862,980,15798,111732,0.123909339666482,-0.434310532030392,0,-0.560994390056102,-1.74825174825175,0.671565850238176
42,2-Nov-20,Monday,946.65,9.5,1.59,434.9,8.77,969.8,9.51,1.59,460,8.9,940,9.18,1.52,434.65,8.41,956.95,9.23,1.52,457.55,8.71,2363,7745,791,10375,178145,1.07633627671248,-2.92524377031419,-4.60526315789474,4.95027865807016,-0.688863375430525,-0.308871918260607
43,30-Oct-20,Friday,880.5,9.7,1.69,453.3,8,934.75,9.9,1.75,453.3,8.92,880.5,9.4,1.59,430.7,8,933.9,9.46,1.6,433.6,8.75,552,9688,1330,20154,146656,5.71795695470607,-2.53699788583508,-5.62499999999999,-4.54335793357933,8.57142857142857,-0.418411943029333
44,29-Oct-20,Thursday,900,9.9,1.7,448.8,8.68,924.05,9.96,1.79,456.95,8.71,880,9.35,1.65,445.1,8.28,890.25,9.55,1.67,450.8,8.38,944,1554,1462,9308,65285,-1.09519797809604,-3.66492146596858,-1.79640718562874,0.443655723158829,-3.57995226730309,0.53504604419891
45,28-Oct-20,Wednesday,923.5,10.15,1.73,446.4,8.65,940,10.35,1.73,487.8,9.05,900.35,9.8,1.7,443.2,8.57,914.15,9.93,1.73,451.45,8.68,561,6213,1666,52155,159311,-1.02280807307335,-2.21550855991944,0,1.11861778713036,0.345622119815661,-1.8583273676021
46,27-Oct-20,Tuesday,973.1,9.72,1.61,434.5,8.7,989,10.3,1.65,438.7,8.85,918.1,9.72,1.6,427.55,8.66,921.65,10.15,1.65,433,8.73,2046,10676,2043,12171,78174,-5.58237942819943,4.23645320197044,2.42424242424241,-0.346420323325635,0.343642611683862,0.797145261474595
47,26-Oct-20,Monday,901,11.6,1.58,435.6,9.07,966.4,11.61,1.58,439.4,9.13,901,9.79,1.55,428.05,8.85,966.4,10.06,1.58,434.05,8.9,1945,9239,2031,5179,149787,6.76738410596026,-15.3081510934394,0,-0.357101716392123,-1.91011235955056,-1.25608100534307
48,23-Oct-20,Friday,920,9.34,1.51,433,9.03,934.1,10.72,1.51,437.3,9.25,908,9.34,1.46,427.3,8.89,920.4,10.72,1.51,434.35,9.07,621,7571,281,19385,56449,0.043459365493261,12.8731343283582,0,0.310809255208938,0.441014332965832,-0.105418392301924
49,22-Oct-20,Thursday,932,8.55,1.39,418.85,8.42,947.4,9.19,1.44,432,8.98,914.35,8.37,1.33,417.95,8.42,924.6,8.94,1.44,430.65,8.88,1182,6281,561,21718,50930,-0.800346095608909,4.36241610738254,3.47222222222222,2.74004411935445,5.18018018018019,0.067014329182374
50,21-Oct-20,Wednesday,955,8.65,1.36,405.9,8.73,965.35,8.65,1.38,420.5,8.9,913,8.25,1.32,404,8.48,925.8,8.37,1.38,419.05,8.63,2025,10221,704,8244,45891,-3.15402894793692,-3.34528076463562,1.44927536231883,3.13805035198664,-1.15874855156431,-0.146976059091111
51,20-Oct-20,Tuesday,928,8.58,1.31,397.3,7.88,965,8.61,1.35,413.2,8.87,900,8.24,1.31,397,7.74,960.85,8.48,1.32,404.85,8.73,2481,12254,1362,8957,68250,3.41884789509289,-1.17924528301886,0.757575757575758,1.86488823020872,9.73654066437572,0.306035091925221
52,19-Oct-20,Monday,921.45,8.87,1.41,404.55,8.1,921.45,9.04,1.41,404.55,8.16,918.2,8.5,1.37,394.05,7.6,921.45,8.59,1.37,397.25,7.95,652,5908,1041,6144,40235,0,-3.25960419091967,-2.91970802919707,-1.83763373190686,-1.88679245283018,0.279558563104104
53,16-Oct-20,Friday,851.3,9.19,1.53,403.45,8.01,879.2,9.24,1.54,407.05,8.29,844.15,8.8,1.41,398.4,7.94,877.6,8.83,1.44,401.55,8.03,1455,7967,1023,12638,64675,2.9968094804011,-4.07701019252548,-6.25000000000001,-0.473166479890419,0.249066002490655,0.115974347084691
54,15-Oct-20,Thursday,861.25,8.97,1.42,413.35,8.27,868.25,9.6,1.48,415.4,8.33,834.75,8.79,1.42,395.1,7.93,837.35,9.04,1.48,399.15,7.99,610,16268,277,37152,81289,-2.85424255090464,0.774336283185824,4.05405405405406,-3.55755981460605,-3.50438047559449,-3.32165319477925
55,14-Oct-20,Wednesday,860,8.3,1.4,416,8.68,894,8.76,1.45,419.4,8.68,835,7.98,1.39,411.4,8.23,860.7,8.65,1.41,413.35,8.4,681,8131,1400,12641,49365,0.081329150691303,4.04624277456647,0.709219858156029,-0.641103181323328,-3.33333333333333,0.420519900359693
56,13-Oct-20,Tuesday,872,8.01,1.45,420,8.55,879.6,8.05,1.47,427.35,8.67,858,7.79,1.41,413.25,8.47,860.1,7.94,1.41,415.35,8.54,143,2231,1482,23753,48166,-1.38356005115684,-0.881612090680093,-2.83687943262412,-1.11953773925604,-0.117096018735381,0.081155904258189
57,12-Oct-20,Monday,860,8.17,1.54,431.15,8.94,873.7,8.33,1.55,431.15,9.01,846,7.89,1.48,412.05,8.65,860.7,8,1.48,415.25,8.7,480,7016,1179,5940,108640,0.081329150691303,-2.125,-4.05405405405406,-3.82901866345574,-2.75862068965518,-0.303371450812671
58,9-Oct-20,Friday,856,8.3,1.62,427,9.06,875,8.36,1.65,434.95,9.18,854.05,8.1,1.54,423.45,8.87,857.8,8.17,1.55,425.15,8.9,347,7416,1648,18574,44845,0.209839123338768,-1.59118727050185,-4.51612903225807,-0.435140538633429,-1.79775280898877,0.699194188818467
59,8-Oct-20,Thursday,845,8.4,1.62,426,8.57,880.1,8.5,1.67,435.25,9.18,845,8.21,1.6,419.25,8.56,878,8.24,1.62,424.5,8.93,548,5799,1168,17856,66021,3.75854214123007,-1.94174757281554,0,-0.353356890459364,4.03135498320268,-0.053878948312796
60,7-Oct-20,Wednesday,855,8.4,1.71,427.1,8.77,861.1,8.4,1.71,431.6,8.86,829,8.22,1.63,421,8.5,844.9,8.3,1.67,422.5,8.53,583,5221,1347,12644,91110,-1.19540774056102,-1.20481927710843,-2.39520958083833,-1.08875739644971,-2.81359906213365,0.616264971871112
61,6-Oct-20,Tuesday,836,8.35,1.76,428,9.06,865,8.44,1.82,429.5,9.15,836,8.2,1.69,423.25,8.76,852.65,8.37,1.7,426.75,8.8,536,1987,1219,7174,77728,1.95273558904591,0.238948626045395,-3.52941176470589,-0.292911540714704,-2.95454545454545,0.601977482004235
62,5-Oct-20,Monday,848.3,8.31,1.7,432.85,9.25,862,8.5,1.76,437.5,9.48,836.5,8.29,1.62,423,8.94,856,8.32,1.76,424.35,9.02,669,180,1390,15796,131809,0.899532710280379,0.120192307692305,3.40909090909091,-2.00306350889596,-2.54988913525499,0.043413891932247
63,1-Oct-20,Thursday,851.25,8.4,1.63,427.9,9.25,865,8.49,1.74,434.45,9.5,832.7,8.15,1.62,424.15,9.11,838.4,8.28,1.68,432.35,9.24,405,3002,1887,6260,161415,-1.53268129770993,-1.44927536231885,2.97619047619048,1.02925870244016,-0.108225108225106,0.741270975436127
64,30-Sep-20,Wednesday,843.6,8.5,1.7,438.1,9.75,870,8.51,1.75,440.3,10.06,831.75,8.21,1.7,418.25,9.31,848.85,8.34,1.7,420.9,9.56,612,308,1394,10111,99143,0.618483831065559,-1.91846522781775,0,-4.0864813494892,-1.98744769874476,-0.002521807726344
65,29-Sep-20,Tuesday,878.8,8.8,1.8,446,10.11,885,8.8,1.87,446,10.25,834.25,8.43,1.78,429.6,9.54,842.8,8.46,1.78,435.45,9.81,887,5515,1296,8415,156708,-4.27147603227338,-4.01891252955083,-1.12359550561798,-2.42278103111724,-3.05810397553516,-0.536272667948621
66,28-Sep-20,Monday,815.1,8.45,1.9,446,10.7,861.55,8.81,1.99,447.6,10.75,815.1,8.45,1.87,434,10.12,861.55,8.67,1.87,443.4,10.34,1141,10249,3191,14698,237318,5.39144565028146,2.53748558246829,-1.6042780748663,-0.586377988272445,-3.4816247582205,0.593392121401839
67,25-Sep-20,Friday,794.05,8.3,1.79,429,9.35,821.45,8.46,1.96,444.95,10.48,784,8.1,1.78,422.4,9.06,820.55,8.42,1.96,439.7,10.36,483,7922,1800,12837,105606,3.22954116141612,1.4251781472684,8.6734693877551,2.43347737093473,9.74903474903475,1.06120411910992
68,24-Sep-20,Thursday,775,8.34,1.96,426.6,8.9,799.75,8.34,1.96,433.45,9.44,775,7.91,1.87,414.95,8.55,782.35,8.17,1.87,418.85,9.12,766,8387,2418,35036,81556,0.939477216079763,-2.08078335373317,-4.81283422459892,-1.85030440491823,2.41228070175437,-1.99318261402434
69,23-Sep-20,Wednesday,825,8.75,2.05,470,10.2,829.7,8.82,2.1,470,10.2,785.5,8.25,1.95,423.95,8.81,806.45,8.34,1.96,433.9,9.22,528,8764,3524,64922,112635,-2.3002046004092,-4.91606714628298,-4.59183673469387,-8.31988937543213,-10.6290672451193,-1.21194358563487
70,22-Sep-20,Tuesday,796,8.94,2.05,467.6,10.28,827.45,8.94,2.15,478.35,10.45,777.45,8.5,2.05,460.6,9.66,805.55,8.63,2.05,471.05,10.25,846,910,2033,17936,74988,1.18552541741667,-3.59212050984935,0,0.732406326292323,-0.292682926829262,-1.23662747309593
71,21-Sep-20,Monday,843,9.4,2.26,496.4,11.25,863,9.4,2.3,496.4,11.36,811.35,8.55,2.15,461.35,10.3,815.55,8.69,2.15,467.85,10.39,2255,11984,2289,28735,181230,-3.36582674268899,-8.17031070195628,-5.11627906976744,-6.10238324249224,-8.27718960538979,-2.04697674247401
72,18-Sep-20,Friday,886,9.35,2.15,483,11.13,898.85,9.36,2.29,497.85,11.65,843.65,9.15,2.15,475.6,11.06,854.05,9.19,2.26,496.7,11.27,1019,158,2032,9724,49153,-3.74099877056379,-1.74102285092492,4.86725663716814,2.75820414737266,1.24223602484471,-0.912839528165446
73,17-Sep-20,Thursday,885,9.2,2.28,481,11.36,905,9.45,2.31,485,11.43,878.8,9.2,2.19,474.1,11.11,888.05,9.31,2.24,478.85,11.27,582,187,1025,5307,140673,0.343449130116542,1.18152524167563,-1.78571428571427,-0.44899237757126,-0.79858030168589,-0.361186613083429
74,16-Sep-20,Wednesday,919,9.41,2.45,487.7,11.83,927.7,9.41,2.45,490.5,11.83,887,9.25,2.28,480.45,11.46,892.55,9.29,2.28,481.65,11.52,721,150,1293,12220,27031,-2.96341941627921,-1.29171151776104,-7.45614035087721,-1.25609882694903,-2.69097222222223,0.360889859132344
75,15-Sep-20,Tuesday,885.1,9.55,2.39,474.65,11.84,937,9.61,2.39,487.5,12.2,885.1,9.31,2.32,470.05,11.66,917.15,9.34,2.39,485.7,11.75,742,3028,1725,23657,54334,3.49452107070817,-2.24839400428266,0,2.27506691373276,-0.76595744680851,0.357747023577036
76,14-Sep-20,Monday,884.9,9.4,2.28,495.9,11.4,906.9,9.69,2.28,498,11.86,852,9.3,2.26,468.5,11.04,893.05,9.35,2.28,474.65,11.57,1202,1913,509,47194,32975,0.912602877778397,-0.534759358288778,0,-4.47698304013484,1.46931719965428,-0.817614947429652
77,11-Sep-20,Friday,870,9.61,1.99,498,11.41,886.85,9.66,2.18,502.55,11.42,861,9.36,1.99,488.75,10.91,863.75,9.42,2.18,491.65,11.13,381,6502,1809,17990,118263,-0.723589001447178,-2.01698513800424,8.71559633027524,-1.29156920573579,-2.51572327044025,-0.027332706208141
78,10-Sep-20,Thursday,878.3,9.55,2.15,508.8,11.29,892.1,9.89,2.15,508.8,11.55,856.3,9.45,2.08,491.3,11.02,869.65,9.6,2.08,497.55,11.42,774,9465,2069,19229,35357,-0.994653021330418,0.520833333333322,-3.36538461538461,-2.26107928851372,1.138353765324,0.83274288162405
79,9-Sep-20,Wednesday,875.1,9.4,2.26,494.4,10.92,895,9.84,2.26,506.7,11.24,851.1,9.25,2.18,491.5,10.54,877.05,9.52,2.18,504.5,11.07,575,16063,1420,12335,64671,0.222336240807244,1.26050420168066,-3.66972477064218,2.00198216055501,1.3550135501355,0.537677200978587
80,8-Sep-20,Tuesday,889.2,9.26,2.26,516.8,12.49,910,10.15,2.42,516.8,12.55,878,9.15,2.26,494,11.18,888.25,9.44,2.29,497.9,11.34,772,10685,1336,14224,63274,-0.106951871657759,1.90677966101695,1.31004366812228,-3.79594296043382,-10.1410934744268,-0.345937154229014
81,7-Sep-20,Monday,905.1,9.3,2.26,526.35,13.21,920,9.36,2.46,527.1,13.21,871.1,9.2,2.26,510.2,11.95,892,9.24,2.33,515.2,12.3,794,1285,3083,7133,88818,-1.46860986547085,-0.649350649350655,3.00429184549357,-2.16420807453416,-7.39837398373984,0.3447671786852
82,4-Sep-20,Friday,870,9.31,2.43,530.1,11.31,918,9.7,2.44,537.3,13.45,860.2,9.11,2.33,519.6,11.31,911.7,9.25,2.37,523.1,12.01,2297,13183,1577,18884,206418,4.57387298453439,-0.648648648648654,-2.53164556962025,-1.33817625692984,5.82847626977518,0.083895635706275
83,3-Sep-20,Thursday,868.4,9.85,2.3,550.8,10.5,905.8,9.85,2.49,552.8,12.88,864,9.2,2.3,535.7,10.45,890.6,9.34,2.43,538.15,12.56,1051,19710,3137,7208,181162,2.49270154951718,-5.46038543897216,5.34979423868314,-2.35064573074421,16.4012738853503,-0.448463155799785
84,2-Sep-20,Wednesday,889.65,9.24,2.6,552,9.25,895.25,10.05,2.6,558.95,10.1,854.8,9.04,2.39,545.4,9.25,862.7,9.62,2.41,550.45,9.91,473,17715,3604,24103,110095,-3.12391329546771,3.95010395010394,-7.88381742738589,-0.281587791806695,6.65993945509586,0.494780360144019
85,1-Sep-20,Tuesday,845,9.11,2.29,517,10.8,878.35,9.49,2.53,555.05,10.95,845,9.04,2.29,514.05,7.69,868.9,9.14,2.51,546.75,8.89,648,8518,6602,58949,105440,2.75060421222235,0.328227571115986,8.76494023904382,5.44124371284865,-21.4848143982002,0.377370131205535
